epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.7061603777616927,0.5040939541807956,1.9923457145690917,0.6305818673883626
2,1.5827299185169554,0.6657844677859565,1.6571017055511474,0.6887686062246279
3,1.1734212178628423,0.7330245637250847,1.5814348888397216,0.7016238159675237
4,0.8934423220967783,0.7847159043916963,1.5283356704711915,0.6975642760487145
5,0.6845287142448055,0.8333471176908445,1.4611220312118531,0.7225981055480379
6,0.5307398212766185,0.8674220494582747,1.444986351966858,0.7300405953991881
7,0.423728634315787,0.8962037879414441,1.43961665725708,0.7320703653585927
8,0.3463584122727218,0.9177073856587544,1.414922981262207,0.7476319350473613
9,0.2996809141149799,0.9311884873046067,1.4158318967819215,0.7469553450608931
10,0.2742306366418172,0.9426846414688611,1.4140255041122436,0.7496617050067659
