epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,3.7929651876097745,0.34935075676122734,3.163116020202637,0.43031123139377536
2,2.7166374535236546,0.4836655363493508,2.4516316509246825,0.574424898511502
3,2.172713172551498,0.5816723182532462,2.178510684967041,0.6102841677943166
4,1.8858402543854944,0.6231080969316021,2.0232707061767576,0.6278755074424899
5,1.7015762581408602,0.6450252253742453,1.9362358589172364,0.6468200270635994
6,1.574875458004405,0.6636341080142255,1.873093780517578,0.6502029769959404
7,1.4787000012629241,0.6782730956910098,1.819249303817749,0.6623815967523681
8,1.4032712116982173,0.6927466710776611,1.8054965915679932,0.6562922868741543
9,1.3707753503206863,0.7012654040195186,1.7998462886810302,0.6637347767253045
10,1.3515787048247254,0.7050698866925813,1.7881974506378173,0.6677943166441137
